Time (seconds),CO conc (ppm),Ethylene conc (ppm),Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
0.0,0.0,0.0,-50.85,-1.95,-41.82,1.3,-4.07,-28.73,-13.49,-3.25,55139.95,50669.5,9626.26,9762.62,24544.02,21420.68,7650.61,6928.42
25.0,0.0,0.0,1975.91,-8.62,1508.85,1729.0,1874.99,2531.36,2099.49,2176.46,590.55,764.03,1947.03,2120.26,1282.71,1247.6,1972.17,1897.52
50.0,0.0,0.0,1789.31,-18.36,1300.14,1495.72,1562.56,2182.26,1660.44,1692.17,515.69,629.21,1729.0,1776.66,1125.4,1072.27,1697.73,1558.43
75.0,0.0,0.0,1561.26,2697.36,1191.05,1354.02,1469.53,2089.25,1487.12,1525.47,439.21,549.81,1546.48,1546.92,1048.97,1013.12,1568.23,1367.46
100.0,533.33,0.0,1465.68,2178.15,1130.64,1298.89,1437.51,2047.77,1414.13,1455.21,393.65,501.85,1484.97,1433.68,1015.29,979.47,1505.83,1318.04
125.0,533.33,0.0,2092.82,3479.3,3605.86,3982.7,2555.17,3346.95,4867.51,4743.36,433.01,543.84,3767.76,3855.0,1430.27,1385.16,4301.34,4294.36
150.0,533.33,0.0,3028.82,5509.67,4377.31,4818.39,2691.33,3462.17,5277.5,5153.91,522.53,713.35,4619.52,4524.48,1456.49,1430.91,4756.11,4641.82
175.0,533.33,0.0,3336.52,6182.47,4477.93,4936.19,2697.1,3437.14,5231.67,5141.58,570.69,780.46,4711.94,4570.98,1464.61,1418.59,4747.96,4659.29
200.0,0.0,16.67,3470.14,6442.76,4516.59,4983.54,2704.98,3435.97,5239.23,5174.87,581.43,817.85,4762.49,4571.67,1457.34,1418.38,4766.75,4655.44
225.0,0.0,16.67,3225.13,6143.36,3583.3,3999.27,2226.62,2844.42,3822.89,3772.39,552.89,788.79,3793.1,3522.91,1249.86,1251.1,3438.61,3287.48
250.0,0.0,16.67,2638.59,4713.0,5552.86,5946.43,2655.78,3168.16,7164.41,7311.92,448.8,627.92,5478.8,4870.75,1382.63,1358.22,6622.48,5514.37
275.0,0.0,16.67,2669.61,4105.65,6790.56,7193.71,2849.52,3331.31,8229.29,8313.51,386.8,562.69,6615.73,5731.26,1406.29,1409.68,7641.99,6171.4
300.0,0.0,0.0,2663.86,3846.26,6966.28,7377.53,2829.13,3310.23,8213.62,8373.21,345.0,518.93,6817.21,5818.74,1380.1,1412.01,7708.09,6148.87
325.0,0.0,0.0,2603.59,3652.12,5859.17,6253.11,2400.85,2852.48,6282.83,6311.36,318.94,453.42,5892.4,4982.08,1255.63,1262.86,5987.51,4760.36
350.0,0.0,0.0,2125.28,3058.17,3401.09,3701.44,1810.62,2301.04,3480.48,3540.2,286.29,407.56,3647.27,3041.54,1083.05,1081.05,3552.74,2807.74
375.0,0.0,0.0,1810.16,2567.5,2593.0,2831.54,1649.82,2159.59,2733.94,2810.68,257.1,380.31,2823.24,2357.2,1004.05,1012.73,2842.81,2227.35
400.0,0.0,0.0,1649.6,2330.66,2277.69,2486.03,1576.07,2096.39,2424.92,2517.83,266.69,350.4,2452.12,2070.02,997.15,980.84,2510.95,1984.32
425.0,0.0,0.0,1532.61,2209.37,2079.75,2287.75,1530.23,2054.39,2273.27,2357.7,254.53,317.9,2247.83,1924.08,966.53,952.46,2324.48,1873.84
