Time (seconds),CO conc (ppm),Ethylene conc (ppm),Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16
0.0,0.0,0.0,-50.85,-1.95,-41.82,1.3,-4.07,-28.73,-13.49,-3.25,55139.95,50669.5,9626.26,9762.62,24544.02,21420.68,7650.61,6928.42
50.0,0.0,0.0,1789.31,-18.36,1300.14,1495.72,1562.56,2182.26,1660.44,1692.17,515.69,629.21,1729.0,1776.66,1125.4,1072.27,1697.73,1558.43
100.0,533.33,0.0,1465.68,2178.15,1130.64,1298.89,1437.51,2047.77,1414.13,1455.21,393.65,501.85,1484.97,1433.68,1015.29,979.47,1505.83,1318.04
150.0,533.33,0.0,3028.82,5509.67,4377.31,4818.39,2691.33,3462.17,5277.5,5153.91,522.53,713.35,4619.52,4524.48,1456.49,1430.91,4756.11,4641.82
200.0,0.0,16.67,3470.14,6442.76,4516.59,4983.54,2704.98,3435.97,5239.23,5174.87,581.43,817.85,4762.49,4571.67,1457.34,1418.38,4766.75,4655.44
250.0,0.0,16.67,2638.59,4713.0,5552.86,5946.43,2655.78,3168.16,7164.41,7311.92,448.8,627.92,5478.8,4870.75,1382.63,1358.22,6622.48,5514.37
300.0,0.0,0.0,2663.86,3846.26,6966.28,7377.53,2829.13,3310.23,8213.62,8373.21,345.0,518.93,6817.21,5818.74,1380.1,1412.01,7708.09,6148.87
350.0,0.0,0.0,2125.28,3058.17,3401.09,3701.44,1810.62,2301.04,3480.48,3540.2,286.29,407.56,3647.27,3041.54,1083.05,1081.05,3552.74,2807.74
400.0,0.0,0.0,1649.6,2330.66,2277.69,2486.03,1576.07,2096.39,2424.92,2517.83,266.69,350.4,2452.12,2070.02,997.15,980.84,2510.95,1984.32
450.0,0.0,0.0,1446.67,2103.78,1954.01,2146.61,1507.34,2043.52,2170.43,2233.44,235.39,310.63,2128.15,1810.84,962.42,941.53,2228.33,1784.56
500.0,0.0,16.67,1357.38,1983.38,1809.25,2006.33,1468.46,1992.27,2035.97,2101.63,206.83,285.43,1969.84,1688.83,941.53,918.01,2097.11,1669.52
550.0,0.0,16.67,1716.47,2446.32,6191.0,6577.18,2669.35,3103.01,7853.72,8023.41,227.56,303.19,5905.97,5045.55,1279.4,1323.05,7139.03,5699.5
600.0,0.0,0.0,2191.44,3237.39,7149.56,7633.89,2816.55,3179.74,8457.66,8678.18,229.43,350.23,6908.85,5759.91,1302.64,1356.54,7898.97,6169.27
650.0,0.0,0.0,1889.93,2832.88,3491.73,3821.96,1754.8,2163.21,3547.66,3700.52,209.37,303.19,3746.5,3011.71,1020.83,1044.4,3727.77,2794.94
700.0,0.0,10.0,1454.78,2221.03,2280.63,2509.42,1498.51,1957.49,2423.42,2541.59,205.81,282.85,2478.42,2017.13,920.14,954.02,2602.56,1951.68
750.0,0.0,10.0,1507.56,2240.51,4441.52,4756.11,2173.33,2609.28,5585.21,5763.95,210.39,277.0,4405.96,3719.8,1130.23,1151.85,5251.71,4134.86
800.0,0.0,0.0,1780.95,2681.64,5439.9,5822.0,2339.58,2722.87,6459.05,6661.24,197.68,283.71,5397.34,4449.67,1165.43,1214.54,6118.79,4747.61
850.0,0.0,0.0,1615.46,2469.81,3145.06,3472.8,1687.27,2086.16,3303.31,3460.99,204.28,273.9,3388.83,2687.14,968.69,1004.84,3476.05,2591.45
900.0,0.0,6.67,1432.19,2132.94,2237.58,2414.63,1469.11,1917.37,2379.11,2507.12,196.16,252.47,2405.1,1952.61,909.28,916.26,2568.53,1921.99
950.0,0.0,6.67,1392.76,2054.15,2912.72,3147.59,1768.31,2197.01,3645.45,3832.23,192.6,244.27,2985.31,2543.64,992.63,1015.29,3568.31,2775.78
1000.0,0.0,0.0,1524.83,2297.1,4069.48,4404.28,1994.61,2390.59,4915.16,5097.68,174.21,255.04,4133.56,3388.54,1058.12,1111.11,4736.99,3670.04
1050.0,0.0,0.0,1494.86,2241.48,2772.59,3083.48,1604.06,2009.85,3060.95,3188.23,183.14,254.19,3009.23,2412.62,943.87,975.94,3204.38,2411.87
1100.0,200.0,0.0,1333.7,2063.38,2108.79,2335.37,1444.32,1884.18,2361.92,2461.72,186.86,235.74,2298.82,1866.96,884.55,899.8,2502.8,1861.0
1150.0,200.0,0.0,2176.7,3819.16,3425.4,3897.62,2197.74,2694.74,4029.64,4194.95,249.91,366.3,3437.44,3010.88,1140.12,1150.64,3650.6,3299.56
1200.0,0.0,0.0,2422.16,4458.51,3386.5,3866.26,2203.31,2670.39,3962.05,4168.43,323.62,437.26,3409.87,2992.45,1153.87,1157.93,3631.83,3288.92
1250.0,0.0,0.0,1872.69,3421.0,2277.69,2602.04,1625.35,2050.84,2525.74,2654.73,274.42,393.13,2394.84,2028.43,956.36,975.15,2426.18,2034.55
1300.0,333.33,0.0,1426.87,2306.21,1871.78,2121.45,1472.75,1918.06,2108.07,2236.85,230.45,320.33,2011.26,1665.97,901.54,914.9,2121.45,1704.86
